PERMNO,date,PRC
10107,20110520,24.49000
10107,20110523,24.17000
10107,20110524,24.15000
10107,20110525,24.19000
10107,20110526,24.67000
10107,20110527,24.76000
10107,20110531,25.01000
10107,20110601,24.43000
10107,20110602,24.22000
10107,20110603,23.90500
10107,20110606,24.01000
10107,20110607,24.06000
10107,20110608,23.94000
10107,20110609,23.96000
10107,20110610,23.70500
10107,20110613,24.04000
10107,20110614,24.22000
10107,20110615,23.74000
10107,20110616,23.99500
10107,20110617,24.26000
10107,20110620,24.47000
10107,20110621,24.76000
10107,20110622,24.65000
10107,20110623,24.63000
10107,20110624,24.30000
10107,20110627,25.20000
10107,20110628,25.80000
10107,20110629,25.62000
10107,20110630,26.00000
10107,20110701,26.02000
10107,20110705,26.03000
10107,20110706,26.33000
10107,20110707,26.77000
10107,20110708,26.92000
10107,20110711,26.63000
10107,20110712,26.54000
10107,20110713,26.63000
10107,20110714,26.47000
10107,20110715,26.78000
10107,20110718,26.59000
10107,20110719,27.54000
10107,20110720,27.06000
10107,20110721,27.09500
10107,20110722,27.53000
10107,20110725,27.91000
10107,20110726,28.08000
10107,20110727,27.33000
10107,20110728,27.72000
10107,20110729,27.40000
10107,20110801,27.27000
10107,20110802,26.80000
10107,20110803,26.92000
10107,20110804,25.94000
10107,20110805,25.68000
10107,20110808,24.48000
10107,20110809,25.58000
10107,20110810,24.20000
